match_id,match_date,league,home_team,away_team,result,prediction,confidence,correct,home_probability,draw_probability,away_probability,confidence_bucket
1097,2025-04-27 10:30:00,Serie A,Venezia,AC Milan,AWAY,AWAY,37.66787063490409,True,30.839263753616013,31.492865611479893,37.66787063490409,35-39.9
724,2025-04-27 13:00:00,Premier League,Bournemouth,Manchester United,DRAW,HOME,37.428591700004624,False,37.428591700004624,29.89795823527816,32.673450064717215,35-39.9
1099,2025-04-27 13:00:00,Serie A,Fiorentina,Empoli,HOME,HOME,53.3315983892751,True,53.3315983892751,30.793346670985233,15.875054939739666,50-54.9
1100,2025-04-27 13:00:00,Serie A,Inter,AS Roma,AWAY,HOME,44.05259255572779,False,44.05259255572779,31.465051954960398,24.4823554893118,40-44.9
1424,2025-04-27 13:30:00,Bundesliga,VfL Bochum,Union Berlin,DRAW,AWAY,56.33181159246933,False,22.476184059390263,21.19200434814042,56.33181159246933,55-59.9
336,2025-04-27 14:15:00,La Liga,Villarreal,Espanyol,HOME,AWAY,38.166449274750654,False,33.59706316435663,28.23648756089272,38.166449274750654,35-39.9
725,2025-04-27 15:30:00,Premier League,Liverpool,Tottenham,HOME,HOME,56.46597686044931,True,56.46597686044931,25.589702809772845,17.94432032977784,55-59.9
1425,2025-04-27 15:30:00,Bundesliga,Werder Bremen,FC St. Pauli,DRAW,HOME,50.59917324440293,False,50.59917324440293,25.902162928807236,23.49866382678984,50-54.9
1101,2025-04-27 16:00:00,Serie A,Juventus,Monza,HOME,HOME,48.24248624193895,True,48.24248624193895,31.834257080188028,19.92325667787301,45-49.9
1103,2025-04-27 18:45:00,Serie A,Atalanta,Lecce,DRAW,HOME,43.79539698318999,False,43.79539698318999,33.479117245423545,22.725485771386474,40-44.9
1102,2025-04-27 18:45:00,Serie A,Napoli,Torino,HOME,HOME,42.914457126203,True,42.914457126203,34.41239495112148,22.673147922675515,40-44.9
1104,2025-04-28 16:30:00,Serie A,Udinese,Bologna,DRAW,AWAY,55.68036913401413,False,18.074136797745386,26.245494068240475,55.68036913401413,55-59.9
